,property_id
4438,8F290577-6169-4774-AD87-9593A8897EE2
4442,20C9E0E3-0AD3-48AA-836F-95C29834FF0C
4447,F9BEF8CE-0CCD-4C44-82C7-95DB70BB707F
4450,AD3C92F9-E1D5-44AE-8F69-95F15F16FD8B
4513,38B31A02-7344-4FE5-8E62-98268B205A54
4609,ECADE42F-2BCB-4C69-BB75-9B72D8D1B3D4
4831,2DAD4695-DC0A-47C6-8CE2-A34449356CA1
4904,2F479A48-D52E-4BCB-8473-A5C316F2E6B3
4917,36284339-210C-4D2A-BCAD-A601D684F1C7
4961,549FC324-71BD-4010-94AE-A7E0DB40631D
4984,47E5BE23-3A06-4F5E-9234-A8930D027E1C
5064,F7BC268D-332A-4EF9-91A5-AB82B9BD6F5D
5078,CC583DB9-79E3-4484-84DE-ABFEBA64E097
5251,C94BDAA5-E637-4441-9112-B24BBFC7D8B8
5296,41094C83-8B00-41AC-9F1B-B3D485DBDC3D
5338,2AF8049E-6CC7-465F-B7E2-B5620FE588AB
5429,DDF6BB23-E0BF-431F-B3A5-B8C8AC86A797
5450,28A5AB12-A6AD-49A1-B845-B96AD58B0EDF
5500,F150F13D-F59A-4498-A1D1-BB356CA615B9
5526,2615F2AE-55E6-4556-A102-BC518D49654E
5573,9C6807F2-7ED6-4544-9CF5-BE09BE69AB81
5577,627FDA68-F600-4EC6-A9B8-BE3DFB9025AF
5581,97293800-7AA3-4D57-8E5D-BE5672AC5DB4
5584,BCA84A5E-6476-451B-BA97-BE83FA6F3F6D
5591,AE5517D3-3C69-4F29-B908-BEBB4DC99B81
5615,D69F28CD-E01A-4C9E-972F-BF6D2EEA3101
5619,68BE871E-A506-452F-8A89-BF8A82786458
5666,E7D419A1-9219-4795-8217-C11A483ECEA0
5798,660195BC-C4FA-4C6F-9FF5-C59CE36DF7BB
5809,D9B7998F-7A60-4668-9553-C61215031E87
5842,D60479F4-5EFE-462A-84B5-C72AE343EE39
5886,0F14C395-9336-4D66-9B5E-C88AE419D773
6024,3DE3FFB2-077E-4403-BEF9-CCFE2547D9C1
6028,05A8EA9C-C610-4BF8-99C5-CD0B72FADEA3
6048,0F008A88-A32F-4B41-8575-CD84386B2EEA
6068,4455B937-B899-4433-83C7-CE59EE4B1CFB
6072,F79506DD-2E88-491C-8A26-CE65C55E9DEA
6103,08770B14-73A9-41E7-99F6-CFAAED80D511
6161,E445CE5A-F5DA-49C7-BD5B-D171E4537168
6185,388FD075-1E67-4C1F-8AC7-D21D8D7F7CEA
6236,87D181F4-301F-45BC-BD75-D40DF6BD4602
6246,0FF2CA92-3D77-4484-B4B4-D4717F51A089
6266,453A8F9E-E1F7-48FB-A76E-D53222A7BAAC
6278,D5512A7C-8D02-4BAE-B6FD-D5E943042AC3
6332,BC0130D1-6321-4108-B1E5-D7566515D4C5
6335,4C941F06-16A8-4549-B986-D774B96BD683
6355,591E5DE6-0753-45EE-B834-D80EB910BD33
6565,7C037957-E21C-42E9-B2B4-DF0F1AA976C7
6587,A1C246D1-387F-4996-9B7E-DFD41609C24C
6633,81062693-469C-4A92-A349-E13DF1C43676
6652,65C209B6-B16A-4F2D-8189-E1EC0697E4F5
6662,C7A820C9-C2C4-405B-844C-E25CD18EEAD1
6728,A063C902-8B2D-45FE-B47D-E4500AEC1AF9
6733,1520F2F0-D2E9-401D-86F2-E497650D9753
6776,88920B14-9076-4A3E-8240-E606908A4BCF
6815,C9908001-FCAC-450D-B03B-E73C2E7464DC
6853,5AF79EF0-C9CF-4128-B2AB-E888976CED7E
6936,A1CC7140-72E2-44B1-9AA0-EB564F60D482
6951,153768A8-BA88-44EF-88F2-EBAFBEAF2BE1
7084,4EE87949-804D-4975-A417-F046A00C2F79
7107,56ED72C1-ED5F-4259-9817-F0DF6DC54609
7192,42A9EF75-02A9-453E-AAC3-F3B2B4E965F1
7296,C098EBFD-1058-4D78-9430-F64B1227BEA8
7307,BFF9A7E3-E8F6-4F2A-A42B-F67D556DA117
7320,9A206829-119E-4AF4-8D14-F6DECD267BFF
7354,19B27DFB-DB7A-488D-BB60-F83F56C8E70B
7463,8D383331-65AF-4CFF-88AB-FBFCCBBB0448
7528,4C7380E8-6070-4035-95B6-FE233EEFC97A
7537,1737CA1C-ADEE-4E1A-9BC4-FE718FBE07FD
